ISIN,Name,Asset class,Currency,Weight,Sector,Country
TRETTRK00010,TURK TRAKTOR VE ZIRAAT,EQUITY,TRY,0.00000609931589900666,Industrials,Turkey
ID1000165608,ALAMTRI MINERALS INDONESIA T,EQUITY,IDR,0.00000605637960910865,Materials,Indonesia
INE844O01030,GUJARAT GAS LTD,EQUITY,INR,0.0000060467560702245,Utilities,India
CNE100000HP8,GUANGDONG HAID GROUP CO-A NTH-SZSE,EQUITY,CNH,0.00000601505375575149,Consumer Staples,China
CNE1000075T2,CIG SHANGHAI CO LTD-H,EQUITY,HKD,0.00000601237349432961,Information Technology,China
CNE000000D24,INNER MONGOLIA XINGYE SILV-A NTH-SZSE,EQUITY,CNH,0.00000601084936025253,Materials,China
CNE000001NN0,AIR CHINA LTD - A NT-SS,EQUITY,CNH,0.00000596132477283755,Industrials,China
CNE100006T02,TRANSTHERA SCIENCES NANJIN-H,EQUITY,HKD,0.00000594717768217334,Health Care,China
CNE000001F05,JCET GROUP CO LTD-A NTH-SSE,EQUITY,CNH,0.0000058904443965113,Information Technology,China
CNE0000010T1,UNISPLENDOUR CORP LTD-A NTH-SZSE,EQUITY,CNH,0.00000587040105638863,Information Technology,China
CNE100003FF7,SHANGHAI JUNSHI BIOSCIENCE-H,EQUITY,HKD,0.00000584787611334558,Health Care,China
CNE100002FC6,CHINA MERCHANTS SHNT-SZ,EQUITY,CNH,0.00000581428491475994,Real Estate,China
TRETTLK00013,TURK TELEKOMUNIKASYON AS,EQUITY,TRY,0.00000581201336877967,Communication Services,Turkey
CNE100002TX3,SHANGHAI PUTAILAI NEW ENER-A,EQUITY,CNY,0.0000057974184823129,Materials,China
CNE1000020T8,SHANNON SEMICONDUCTOR TECH-A NTH-SZSE,EQUITY,CNH,0.0000057629219220319,Information Technology,China
CNE0000012K6,JIANGSU EASTERN SHENGHONG -A NTH-SZSE,EQUITY,CNH,0.00000575097635836792,Materials,China
KR7000811000,SAMSUNG FIRE & MARINE PFD,EQUITY,KRW,0.0000057380342454997,Financials,South Korea
CNE1000040M1,HANGZHOU TIGERMED CONSULTI-H,EQUITY,HKD,0.00000571777433504342,Health Care,China
KR7071051007,KOREA INVESTMENT HOLD-PFD,EQUITY,KRW,0.00000571157032774247,Financials,South Korea
CNE100002D38,EVERPROX TECHNOLOGIES CO L-A NTH-SZSE,EQUITY,CNH,0.00000569447755487159,Information Technology,China
CNE000000TR0,CHINA EASTERN AIRLI NT-SS,EQUITY,CNH,0.00000568532786536397,Industrials,China
KYG1R24P1085,BLOKS GROUP LTD,EQUITY,HKD,0.00000566923652674246,Consumer Discretionary,China
INE699H01024,AWL AGRI BUSINESS LTD,EQUITY,INR,0.00000566147744674534,Consumer Staples,India
CNE100002SN6,BANK OF CHENGDU CO LTD-A NTH-SSE,EQUITY,CNH,0.00000561752832415935,Financials,China
CNE100002BR3,YUNNAN ENERGY NEW MATERIAL-A,EQUITY,CNY,0.00000561657248366443,Materials,China
CNE100000098,INNER MONGOLIA DIAN TOU EN-A NTH-SZSE,EQUITY,CNH,0.00000559712674739463,Energy,China
KYG989BA1027,ZJLD GROUP INC,EQUITY,HKD,0.000005594744473725,Consumer Staples,China
CNE100000HB8,JIANGSU YANGHE BR-A NT-SZ,EQUITY,CNH,0.00000558377266238805,Consumer Staples,China
CNE000001097,HENAN SHENHUO COAL & POWER-A NTH-SZSE,EQUITY,CNH,0.00000557371435448832,Materials,China
CNE000001BM7,SHANDONG HUALU HENGSHENG-A NTH-SSE,EQUITY,CNH,0.00000556267740921645,Materials,China
CNE100000W94,SHENZHEN SUNWAY COMMUNICAT-A,EQUITY,CNY,0.00000552139552126536,Information Technology,China
CNE000001H94,CHIFENG JILONG GOLD MINING-A NTH-SSE,EQUITY,CNH,0.00000550696672633262,Materials,China
ID1000188006,TRIMEGAH BANGUN PERSADA TBK,EQUITY,IDR,0.0000055016403988047,Materials,Indonesia
KYG2118M1096,CHINA OVERSEAS PROPERTY HOLDINGS,EQUITY,HKD,0.00000550161923027585,Real Estate,China
CNE0000012J8,YTO EXPRESS GROUP CO LTD-A NTH-SSE,EQUITY,CNH,0.00000545749098936884,Industrials,China
CNE100001260,SUNWODA ELECTRONIC CO LTD-A,EQUITY,CNY,0.00000545414636181079,Industrials,China
CNE0000018P2,FIBERHOME TELECOM TECH CO-A,EQUITY,CNY,0.00000544960815489537,Information Technology,China
CNE100003RK2,ROCKCHIP ELECTRONICS CO L-A NTH-SSE,EQUITY,CNH,0.00000541410690366826,Information Technology,China
KYG9T20T1051,WEILONG DELICIOUS GLOBAL HOL,EQUITY,HKD,0.00000537904693485022,Consumer Staples,China
CNE1000027F2,ORIENT SECURITIES CO LTD-H,EQUITY,HKD,0.00000536773479870332,Financials,China
CNE000001ND1,POLY DEVELOPMENTS AND HOLD-A,EQUITY,CNY,0.00000536257781940618,Real Estate,China
KYG6391R1074,NANSHAN ALUMINIUM INTERNATIO,EQUITY,HKD,0.00000535475686217089,Materials,Indonesia
TRAPETKM91E0,PETKIM PETROKIMYA HOLDING,EQUITY,TRY,0.00000534263543688263,Materials,Turkey
KR7066571001,LG ELECTRONICS PFD,EQUITY,KRW,0.0000053397776854881,Consumer Discretionary,South Korea
TREENSA00014,ENERJISA ENERJI AS,EQUITY,TRY,0.00000533788554467873,Utilities,Turkey
CNE000001139,SHANDONG NANSHAN ALUMINUM-A NTH-SSE,EQUITY,CNH,0.00000533326429199629,Materials,China
CNE100001XM0,SUZHOU TA&A ULTRA CLEAN TE-A,EQUITY,CNY,0.00000532994408966384,Materials,China
KR7009151002,SAMSUNG ELECTRO-MECHANICS-PFD,EQUITY,KRW,0.00000532406249534074,Information Technology,South Korea
CNE100003F27,PICC HOLDING CO-A NTH-SSE,EQUITY,CNH,0.00000532339812920457,Financials,China
INE188A01015,FERTILISERS & CHEM TRAVANCR,EQUITY,INR,0.00000531648904705814,Materials,India
TREFNFK00017,UFUK YATIRIM YONETIM VE GAYR,EQUITY,TRY,0.00000530518016760798,Real Estate,Turkey
CNE1000006C3,TONGFU MICROELECTRONIC CO-A NTH-SZSE,EQUITY,CNH,0.00000530306819976826,Information Technology,China
TRAGUSGR91O3,TURKIYE SIGORTA AS,EQUITY,TRY,0.00000522721973255614,Financials,Turkey
CNE100003PV3,POLY PROPERTY SERVICES CO-H,EQUITY,HKD,0.00000522399071773257,Real Estate,China
CNE100001ZV6,ORIENT SECUR CO -A NT-SS,EQUITY,CNH,0.00000522124532237577,Financials,China
CNE1000076H5,SERES GROUP CO LTD-H,EQUITY,HKD,0.00000521546468565179,Consumer Discretionary,China
CNE100001YF2,KUNLUN TECH CO LTD-A,EQUITY,CNY,0.00000518693927885441,Communication Services,China
CNE100000619,WESTERN MINING CO -A NTH-SSE,EQUITY,CNH,0.00000518168459865489,Materials,China
CNE100005R96,JINKO SOLAR CO LTD-A NTH-SSE,EQUITY,CNH,0.00000513473605836593,Information Technology,China
CNE100000TW9,CHINA SUNTIEN GREEN ENGY CORP-H,EQUITY,HKD,0.00000511085958617333,Energy,China
CNE000000V89,SHANGHAI INTL AIR-A NT-SS,EQUITY,CNH,0.00000510757846420183,Industrials,China
CNE100003FS0,SUZHOU MAXWELL TECHNOLOGIE-A NTH-SZSE,EQUITY,CNH,0.00000509202610889176,Information Technology,China
TREPASF00024,PASIFIK EURASIA LOJISTIK DIS,EQUITY,TRY,0.00000508843071568428,Industrials,Turkey
CNE100003N76,SHANGHAI HENLIUS BIOTECH I-H,EQUITY,HKD,0.00000507529808605642,Health Care,China
CNE000000KB3,SANAN OPTOELECTRON NT-SS,EQUITY,CNH,0.00000506099304560003,Information Technology,China
CNE0000012Q3,BTG HOTELS GROUP CO LTD-A,EQUITY,CNY,0.00000503356840230276,Consumer Discretionary,China
CNE100000LV8,BLUEFOCUS INTELLIGENT COMM-A NTH-SZSE,EQUITY,CNH,0.00000502754677001959,Communication Services,China
CNE100005QL7,HWATSING TECHNOLOGY CO LTD-A NTH-SSE,EQUITY,CNH,0.0000050252100901044,Information Technology,China
TRAKRDMR91G7,KARDEMIR KARABUK DEMIR-CL D,EQUITY,TRY,0.0000050165831004245,Materials,Turkey
CNE100001QP7,HUISHANG BANK CORP LTD-H,EQUITY,HKD,0.00000498109161928763,Financials,China
CNE100005428,SHENGYI ELECTRONICS CO LTD-A NTH-SSE,EQUITY,CNH,0.00000495955996875208,Information Technology,China
TRAMTEKS91B0,ISIKLAR ENERJI VE YAPI HOLDI,EQUITY,TRY,0.00000492819797908901,Consumer Discretionary,Turkey
CNE100001WS9,GUOSEN SECURITI  -A NT-SZ,EQUITY,CNH,0.00000492185881887311,Financials,China
CNE100002PK8,ADVANCED FIBER RESOURCES (ZHUHAI) LTD,EQUITY,CNY,0.00000490828979188129,Information Technology,China
CNE100003NZ9,CHONGQING RURAL COMMERCIAL-A NTH-SSE,EQUITY,CNH,0.00000489691903519297,Financials,China
CNE100001LY0,ZCZL INDUSTRIAL TECHNOLOGY-H,EQUITY,HKD,0.00000489474681846345,Industrials,China
INE481Y01014,GENERAL INS CORP OF INDIA,EQUITY,INR,0.00000487836889052829,Financials,India
TREODNE00017,ODINE SOLUTIONS TEKNOLOJI TI,EQUITY,TRY,0.0000048729741723687,Information Technology,Turkey
