ISIN,Name,Sector,Asset Class,Weight,Country,Currency
,POPULAR INC,Financials,Equity,0.001,United States,USD
,ENCOMPASS HEALTH CORP,Health Care,Equity,0.001,United States,USD
,GLOBUS MEDICAL INC CLASS A,Health Care,Equity,0.001,United States,USD
,JM SMUCKER,Consumer Staples,Equity,0.001,United States,USD
,OLD REPUBLIC INTERNATIONAL CORP,Financials,Equity,0.001,United States,USD
,AMERICAN HOMES RENT REIT CLASS A,Real Estate,Equity,0.001,United States,USD
,EQUINOX GOLD CORP,Materials,Equity,0.001,Canada,CAD
,AES CORP,Utilities,Equity,0.001,United States,USD
,CHART INDUSTRIES INC,Industrials,Equity,0.001,United States,USD
,GUARDANT HEALTH INC,Health Care,Equity,0.001,United States,USD
,DONALDSON INC,Industrials,Equity,0.001,United States,USD
,BIOMARIN PHARMACEUTICAL INC,Health Care,Equity,0.001,United States,USD
,WINTRUST FINANCIAL CORP,Financials,Equity,0.001,United States,USD
,OWENS CORNING,Industrials,Equity,0.001,United States,USD
,IAMGOLD CORP,Materials,Equity,0.0009,Canada,CAD
,SOUTHSTATE BANK CORP,Financials,Equity,0.0009,United States,USD
,INTERDIGITAL INC,Information Technology,Equity,0.0009,United States,USD
,ACCELLERON N AG,Industrials,Equity,0.0009,Switzerland,CHF
,LITTELFUSE INC,Information Technology,Equity,0.0009,United States,USD
,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,Equity,0.0009,United States,USD
,RANGE RESOURCES CORP,Energy,Equity,0.0009,United States,USD
,PLANET LABS CLASS A,Industrials,Equity,0.0009,United States,USD
,DOCUSIGN INC,Information Technology,Equity,0.0009,United States,USD
,APPLIED OPTOELECTRONICS INC,Information Technology,Equity,0.0009,United States,USD
,COCA COLA CONSOLIDATED INC,Consumer Staples,Equity,0.0009,United States,USD
,VIAVI SOLUTIONS INC,Information Technology,Equity,0.0009,United States,USD
,PRIMERICA INC,Financials,Equity,0.0009,United States,USD
,SEMTECH CORP,Information Technology,Equity,0.0009,United States,USD
,AGREE REALTY REIT CORP,Real Estate,Equity,0.0009,United States,USD
,HUDBAY MINERALS INC,Materials,Equity,0.0009,Canada,CAD
,REXFORD INDUSTRIAL REALTY REIT INC,Real Estate,Equity,0.0009,United States,USD
,FINNING INTERNATIONAL INC,Industrials,Equity,0.0009,Canada,CAD
,DARLING INGREDIENTS INC,Consumer Staples,Equity,0.0009,United States,USD
,OSHKOSH CORP,Industrials,Equity,0.0009,United States,USD
,ACUITY INC,Industrials,Equity,0.0009,United States,USD
,BRIXMOR PROPERTY GROUP REIT INC,Real Estate,Equity,0.0009,United States,USD
,IMI PLC,Industrials,Equity,0.0009,United Kingdom,GBP
,BAXTER INTERNATIONAL INC,Health Care,Equity,0.0009,United States,USD
,BIO TECHNE CORP,Health Care,Equity,0.0009,United States,USD
,ARROW ELECTRONICS INC,Information Technology,Equity,0.0009,United States,USD
,VIPER ENERGY INC CLASS A,Energy,Equity,0.0009,United States,USD
,TORO,Industrials,Equity,0.0009,United States,USD
,CORE & MAIN INC CLASS A,Industrials,Equity,0.0009,United States,USD
,MP MATERIALS CORP CLASS A,Materials,Equity,0.0009,United States,USD
,OGE ENERGY CORP,Utilities,Equity,0.0009,United States,USD
,UMB FINANCIAL CORP,Financials,Equity,0.0009,United States,USD
,SANMINA CORP,Information Technology,Equity,0.0009,United States,USD
,MURPHY USA INC,Consumer Discretionary,Equity,0.0009,United States,USD
,HF SINCLAIR CORP,Energy,Equity,0.0009,United States,USD
,ST JAMESS PLACE PLC,Financials,Equity,0.0009,United Kingdom,GBP
,INVESCO LTD,Financials,Equity,0.0009,United States,USD
,BLUESCOPE STEEL LTD,Materials,Equity,0.0009,Australia,AUD
,PSP SWISS PROPERTY AG,Real Estate,Equity,0.0009,Switzerland,CHF
,MILLICOM INTERNATIONAL CELLULAR SA,Communication Services,Equity,0.0009,Sweden,USD
,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,Equity,0.0009,United States,USD
,CARETRUST REIT INC,Real Estate,Equity,0.0009,United States,USD
,RYDER SYSTEM INC,Industrials,Equity,0.0009,United States,USD
,MOOG INC CLASS A,Industrials,Equity,0.0009,United States,USD
,VALMONT INDS INC,Industrials,Equity,0.0009,United States,USD
,CUBESMART REIT,Real Estate,Equity,0.0009,United States,USD
,AMERICAN FINANCIAL GROUP INC,Financials,Equity,0.0009,United States,USD
,CIRRUS LOGIC INC,Information Technology,Equity,0.0009,United States,USD
,HOULIHAN LOKEY INC CLASS A,Financials,Equity,0.0009,United States,USD
,CULLEN FROST BANKERS INC,Financials,Equity,0.0009,United States,USD
,AMERICAN HEALTHCARE REIT INC,Real Estate,Equity,0.0009,United States,USD
,WYNN RESORTS LTD,Consumer Discretionary,Equity,0.0009,United States,USD
,ZIONS BANCORPORATION,Financials,Equity,0.0008,United States,USD
,FIRST MAJESTIC SILVER CORP,Materials,Equity,0.0008,Canada,CAD
,FACTSET RESEARCH SYSTEMS INC,Financials,Equity,0.0008,United States,USD
,ARITZIA SUBORDINATE VOTING INC,Consumer Discretionary,Equity,0.0008,Canada,CAD
,PRIMORIS SERVICES CORP,Industrials,Equity,0.0008,United States,USD
,CRANE,Industrials,Equity,0.0008,United States,USD
,LUMEN TECHNOLOGIES INC,Communication Services,Equity,0.0008,United States,USD
,ELEMENT SOLUTIONS INC,Materials,Equity,0.0008,United States,USD
,COGNEX CORP,Information Technology,Equity,0.0008,United States,USD
,SKYWORKS SOLUTIONS INC,Information Technology,Equity,0.0008,United States,USD
,ARROWHEAD PHARMACEUTICALS INC,Health Care,Equity,0.0008,United States,USD
,ARGAN INC,Industrials,Equity,0.0008,United States,USD
,GAMES WORKSHOP GROUP PLC,Consumer Discretionary,Equity,0.0008,United Kingdom,GBP
